OldContractNumber,OldFileName,OldFolderName,SiteName,docCreator,CostCompMethod,CostContractScope
CONT-10-1920,חוזה יועץ בניה ירוקה.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,43200
CONT-10-1964,חוזה יועץ בניה ירוקה.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,100000
CONT-10-2001,חוזה יועץ בניה ירוקה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2150,חוזה יועץ בניה ירוקה.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,71900
CONT-10-2178,חוזה יועץ בניה ירוקה.docx,רמת שרת שלב ב,רמת שרת מתחם דרומי,,,
CONT-10-2319,חוזה יועץ בניה ירוקה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2382,חוזה יועץ בניה ירוקה.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,18000
CONT-10-1939,חוזה יועץ מיגון ומקלוט.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,19440
CONT-10-2093,חוזה יועץ נגישות.docx,נס ציונה מחיר למשתכן,נס ציונה,,,
CONT-10-2103,חוזה יועץ נגישות.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2143,חוזה יועץ נגישות.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,21420
CONT-10-2152,חוזה יועץ נגישות.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2173,חוזה יועץ נגישות.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2244,חוזה יועץ נגישות.docx,רמת שרת,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,14742
CONT-10-2248,חוזה יועץ נגישות.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,14742
CONT-10-2316,חוזה יועץ נגישות.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2420,חוזה יועץ ניהול ואחזקת מבנים.docx,מורדות ארנונה,אפריקה ישראל,,,
CONT-10-2070,חוזה יועץ סופרפוזיציה.docx,סביוני רעננה צפון,,germank,מחיר קבוע/פאושלי,86250
CONT-10-2199,חוזה יועץ פינוי אשפה טיוטא מופיע בירוקה.docx,נשר,נשר,avic,,
CONT-10-2002,חוזה יועץ פינוי אשפה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2145,חוזה יועץ פינוי אשפה.docx,נתניה - מגרש 1409,,dekelr,מחיר קבוע/פאושלי,22000
CONT-10-2315,חוזה יועץ פינוי אשפה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2374,חוזה יועץ פינוי אשפה.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,97000
CONT-10-1941,חוזה יועץ קרינה אלקטרו.docx,,נס ציונה מחיר למשתכן,kooksec,,18800
CONT-10-2195,חוזה יועץ קרינה אלקטרו.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2261,חוזה יועץ קרינה אלקטרו.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,111583
CONT-10-2333,חוזה יועץ קרינה אלקטרו.docx,הכוזרי - הרצליה,,meryle,,
CONT-10-1940,חוזה מודד.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,18800
CONT-10-2324,חוזה מנהל מוד1.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2402,חוזה מנהל מודל בים ותיאום מערכות.docx,הכוזרי - הרצליה,הכוזרי הרצליה,meryle,מחיר קבוע/פאושלי,288409
CONT-10-2069,חוזה מנהל מודל.docx,סביוני רעננה צפון,,germank,מחיר קבוע/פאושלי,86250
CONT-10-2091,חוזה מנהל מודל.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2183,חוזה מנהל מודל.docx,נשר,שם אתר,avic,מחיר קבוע/פאושלי,
CONT-10-2196,חוזה מנהל מודל.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,,
CONT-10-1919,חוזה מעצב פנים.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,76000
CONT-10-1967,חוזה מעצב פנים.docx,נרקיסים,נרקיסים,germank,מחיר קבוע/פאושלי,262000
CONT-10-2328,חוזה מעצב פנים.docx,רמת שרת,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,135000
CONT-10-2381,חוזה מעצב פנים.docx,מורדות ארנונה,מורדות ארנונה,kooksec,מחיר קבוע/פאושלי,
CONT-10-2181,חוזה מתכנן איוורור ו  מיזוג אוויר.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2104,חוזה מתכנן איוורור ומיזוג אוויר.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-1937,חוזה מתכנן אינסטלציה 26.08.2020.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,252400
CONT-10-1404,חוזה מתכנן אינסטלציה.docx,אנדריוס,אנדריוס ,avic,מחיר קבוע/פאושלי,
CONT-10-1880,חוזה מתכנן אינסטלציה.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,
CONT-10-1912,חוזה מתכנן אינסטלציה.docx,סביוני רעננה צפון,סביוני רעננה צפון,germank,מחיר קבוע/פאושלי,252400
CONT-10-1984,חוזה מתכנן אינסטלציה.docx,מורדות ארנונה,מורדות ארנונה,,,
CONT-10-2081,חוזה מתכנן אינסטלציה.docx,נתניה - מגרש 1409,נתניה - מגרש 1409,dekelr,מחיר קבוע/פאושלי,163800
CONT-10-2082,חוזה מתכנן אינסטלציה.docx,גבעת הכלניות - קרית אתא,גבעת הכלניות,avic,מחיר קבוע/פאושלי,
CONT-10-2175,חוזה מתכנן אינסטלציה.docx,נשר,נשר,avic,מחיר קבוע/פאושלי,
CONT-10-2187,חוזה מתכנן אינסטלציה.docx,רמת שרת שלב ב,רמת שרת שלב ב,kooksec,מחיר קבוע/פאושלי,503700
CONT-10-2309,חוזה מתכנן אינסטלציה.docx,רוטשילד חיפה,,kooksec,,
CONT-10-2370,חוזה מתכנן אינסטלציה.docx,אופיס - אזור,אופיס אזור,kooksec,מחיר קבוע/פאושלי,186000
CONT-10-392,חוזה מתכנן אלומיניום.docx,גליל ים מחיר למשתכן,סביוני גליל ים - מחיר למשתכן,michak,מחיר קבוע/פאושלי,171400
CONT-10-1883,חוזה מתכנן אלומיניום.docx,נס ציונה מחיר למשתכן,נס ציונה מחיר למשתכן,kooksec,מחיר קבוע/פאושלי,89700
