OldContractNumber,OldFileName,ContractTemplate,signDate,כתובת ספק,CostContractScope,SiteName,status,StartDate,ExpectedEndDate,CostCompMethod,PartyAContactNamePercent,אישור חוזה,contractVersion,ח.פ חברה,docCreator,כתובת חברה,מדד בגין/ידוע,CostIndexMode,CostBaseIndexDate,מספר ספק,DurationMonths,CostIndexPoints,סוג מדד,CostIndexType,סוג ספק,פירוט עלויות,פרק,recipient,otherSides,קישור לנספח,Municipality,customField1,customField2,customField3,customField4,customField5,customField6,customField7,customField8,שיוך לעיר,project,CostCurrency,supplierName,partyAName,WorkDescription,CostPaymentTerms,ItemType,Path,OldFolderName
CONT-10-2067,בניין 31 - חוזה מתכנן מיגון ומקלוט.docx,חוזה מיגון ומיקלוט,2021-06-21 00:00:00,,9000,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,מחיר קבוע/פאושלי,50%,,0.5,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
מרחב מוגן רמי לוי בע""מ
ת.ד. 230, מושב אודים 4290500
514475201
",,נס ציונה,4722,407-0508069,מרול אטמן,רמי לוי,,רמי לוי,82,,,סביוני נצר סירני - בניין 31,"ש""ח","מרחב מוגן רמי לוי בע""מ",,ייעוץ מיגון,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2058,בניין 31 - חוזה מתכנן מיזוג אוויר.docx,מיזוג אויר,2021-12-16 00:00:00,,88000,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,מחיר קבוע/פאושלי,50%,,0.4,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
אסא אהרוני מהנדסים יועצים בע""מ
רח' האתגר 5, טירת הכרמל

",,נס ציונה,4722,407-0508069,מרול אטמן,רפי אהרוני,,רפי אהרוני,82,,,סביוני נצר סירני - בניין 31,"ש""ח","אסא אהרוני מהנדסים יועצים בע""מ",,"תכנון מיזוג אוויר, אוורור ושחרור עשן",60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2064,בניין 31 - חוזה מתכנן מעליות.docx,מתכנן מעליות,2021-08-25 00:00:00,,17600,,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,למדידה,50%,,0.4,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
לוסטיג ויתקין יועצים בע""מ
רח' באר טוביה 5, תל אביב  6458305

",,נס ציונה,4722,407-0508069,מרול אטמן,מולי ויתקין,,מולי ויתקין,82,,,סביוני נצר סירני - בניין 31,,"לוסטיג ויתקין יועצים בע""מ",,תכנון מעליות,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2011,בניין 31 - חוזה מתכנן קונסטרוקציה.docx,מתכנן קונסטרוקציה,,,296250,סביוני נצר סירני,טיוטה,2020-12-02 00:00:00,2025-01-20 22:00:00,למדידה,50%,,0.2,,meryle,,1,בגין,2020-12-01 00:00:00,,48,223.1145,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
טומי עברון - הנדסת בניין בע""מ
רח' המעיין 5 הרצליה 4635637

",,נס ציונה,4722,407-0508069,מרול אטמן,משה סיטון,,משה סיטון,82,,,סביוני נצר סירני - בניין 31,"ש""ח","טומי עברון - הנדסת בניין בע""מ","                           אפריקה ישראל מגורים בע""ישראל אדלר ובנו חברה להשקעות בע""מ",תכנון קונסטרוקציה - בניין 31,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-2054,בניין 31 - חוזה מתכנן תנועה.docx,מתכנן תנועה,2021-12-28 00:00:00,,80000,סביוני נצר סירני,טיוטה,2020-11-02 00:00:00,2025-01-20 22:00:00,מחיר קבוע/פאושלי,50%,,0.12,,meryle,,1,בגין,2020-11-01 00:00:00,,48,223.3374,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ וישראל אדלר ובנו חברה להשקעות בע""מ
יוני נתניהו 1 ג' אור יהודה
558075404
","
אמאב תחבורה ותנועה בע""מ
רח' הרקון 6, רמת גן

",,נס ציונה,4722,407-0508069,מרול אטמן,אלכסנדרה גוסובסקי,,אלכסנדרה גוסובסקי,82,,,סביוני נצר סירני - בניין 31,"ש""ח","אמאב תחבורה ותנועה בע""מ",,תכנון תנועה וחניה,60 יום,Item,sites/Contracts/ProjectContractLibrary/נצר סירני,נצר סירני
CONT-10-1814,הוראות למוזמנים להגיש הצעת מחיר.docx,קבלן חפירה ודיפון,,,,,טיוטה,,,,,,0.3,,Rinath,,,,,,,,9.00000000000000,מדד תשומות הבניה,,,,"אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
	
החברה לנאמנות סומייל בע""מ
רח' יצמן 2 ת""א

•	הורוביץ ימימה
•	הורוביץ תמר
•	שמעון הראל 
מ__________________ {לא יודע}",,, תל אביב-יפו,"6217, 6214, 6213, 6216",תא/מק/2988/א,שי מרגולין,,,מיכה קליין,,,,סמל דרום,"ש""ח",,, חפירה ודיפון.,,Item,sites/Contracts/ProjectContractLibrary/סומייל,סומייל
CONT-10-1846,הסכם מתכנן- אינסטלציה וספרינקלרים - 2 4 19.docx,מתכנן אינסטלציה,2019-03-12 00:00:00,,,אנדריוס ,טיוטה,2013-10-15 00:00:00,2020-05-10 21:00:00,,100%,,0.1,,avic,,1,,,,80,,5.00000000000000,מדד המחירים לצרכן,,,,"אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0","
ש. גלבוע מהנדסים יועצים
בן גוריון 22 הרצליה
",,נתניה,"8271  ח""ח 13000132  133",נת/41/5521,"אבי כהן מאפריקה ישראל מגורים בע""מ",   אלכס קור,6,ארז גלבוע ,,,,שם הפרויקט - סביוני סיטי,"ש""ח",ש. גלבוע מהנדסים יועצים,"אפריקה ישראל מגורים בע""מ",תכנון ויעוץ אינסטלציה וספרנקלריים בפרויקט ,,Item,sites/Contracts/ProjectContractLibrary/אנדריוס,אנדריוס
CONT-10-2353,הרצליה חוזה מתכנן אינסטלציה זיו גלמור 06.02.2024.docx,מתכנן אינסטלציה,,,548340,אולפנים,טיוטה,2021-05-16 00:00:00,,מחיר קבוע/פאושלי,,,0.2,,germank,,2,ידוע,2021-05-15 00:00:00,,,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אולפני הרצליה-ע.משותפת אפריקה מגורים, תדהר וע.לוזון
יהונתן נתניהו 1'ג
558426227
","
ת.מ.א.-הנדסה ויעוץ בע""מ
אהליאב 6            רמת גן 
ח.פ. 511037830
",,הרצליה,6424,הר/2180,גרמן קגנובסקי ,זיו גלמור,,זיו גלמור,148,,,אולפני הרצליה,"ש""ח","ת.מ.א.-הנדסה ויעוץ בע""מ",,הקמה פרויקט מגורים 311 יח''ד על גבי חניון תת קרקעי,45 יום,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
CONT-10-2352,הרצליה חוזה מתכנן חשמל ותקשורת 06.02.2024.docx,מתכנן חשמל ותקשורת,,,234000,הקמת 150 יח''ד ומסחר ,טיוטה,2020-01-01 00:00:00,,מחיר קבוע/פאושלי,,,0.7,,germank,,1,בגין,2019-12-31 00:00:00,,,223.7832,5.00000000000000,מדד המחירים לצרכן,,,,"
אפריקה ישראל מגורים בע""מ
יוני נתניהו 1 ג' אור יהודה
מ.ז 52-003476-0
","
ר.כהן ושות' מהנדסים יועצים לחשמל ואוטומציה (3000) בע""מ
מנחם בגין 42, רמת גן
511304552",,רעננה,6578,רנ/708,גרמן קגנובסקי,שלום גולדברגר,,רפי כהן או דורית לכטנשטרן,151,,,סביוני  רעננה  צפון,"ש""ח","ר.כהן ושות' בע""מ",,הקמה 150 יח''ד ומסחר על גבי חניון משותף,60 יום,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
CONT-10-2354,הרצליה חוזה מתכנן מיזוג אוויר זיו גלמור 06.02.2024.docx,מיזוג אויר,,,396605,,טיוטה,2021-05-16 00:00:00,,מחיר קבוע/פאושלי,,,0.2,,germank,,2,ידוע,2021-05-15 00:00:00,,,225.5724,5.00000000000000,מדד המחירים לצרכן,,,,"
אולפני הרצליה -ע . משותפת אפריקה ישראל מגורים, תדהר וע. לוזון

558426227
","
ת.מ.א הנדסה ויעוץ בע""מ
אליהב 6 רמת גן
",,הרצליה,6424,הר/2180,גרמן קגנובסקי,,,זיו גלמור,148,,,אולפני הרצליה,"ש""ח","ת.מ.א הנדסה ויעוץ בע""מ",,הקמה פרויקט מגורים 311 יח''ד על גבי חניון תת קרקעי,45 יום,Item,sites/Contracts/ProjectContractLibrary/אולפני הרצליה,אולפני הרצליה
